[ERROR] 2016-11-24 14:51:45.596 [main] MainReadFile - File Not Found
[ERROR] 2016-11-24 14:51:45.599 [main] MainReadFile - Not Read File
[ERROR] 2016-11-24 15:10:03.812 [main] MainReadFile - Some error happens
[ERROR] 2016-11-24 15:10:03.814 [main] MainReadFile - Some error happens
[ERROR] 2016-11-24 15:10:03.814 [main] MainReadFile - Some error happens
[ERROR] 2016-11-24 15:10:03.814 [main] MainReadFile - Some error happens
[ERROR] 2016-11-24 15:10:03.815 [main] MainReadFile - Some error happens
[ERROR] 2016-11-24 15:10:03.815 [main] MainReadFile - Some error happens
[ERROR] 2016-11-24 15:10:03.815 [main] MainReadFile - Some error happens
[ERROR] 2016-11-24 15:10:03.815 [main] MainReadFile - Some error happens
[ERROR] 2016-11-24 15:10:03.817 [main] MainReadFile - Some error happens
[ERROR] 2016-11-24 15:10:03.817 [main] MainReadFile - Some error happens
[ERROR] 2016-11-24 15:10:03.817 [main] MainReadFile - Some error happens
[ERROR] 2016-11-24 15:10:03.817 [main] MainReadFile - Some error happens
[ERROR] 2016-11-24 15:10:03.817 [main] MainReadFile - Some error happens
[ERROR] 2016-11-24 15:10:03.817 [main] MainReadFile - Some error happens
[ERROR] 2016-11-24 15:10:03.818 [main] MainReadFile - Some error happens
[ERROR] 2016-11-24 15:10:03.818 [main] MainReadFile - Some error happens
[ERROR] 2016-11-24 15:10:03.818 [main] MainReadFile - Some error happens
[ERROR] 2016-11-24 15:10:03.818 [main] MainReadFile - Some error happens
[ERROR] 2016-11-24 15:10:03.818 [main] MainReadFile - Some error happens
[ERROR] 2016-11-24 15:10:03.818 [main] MainReadFile - Some error happens
[ERROR] 2016-11-28 10:47:25.912 [main] Main - Some error happens
